"passenger","pclass","survived","name","age","embarked","home.dest","room","ticket","boat","sex"
 319,"1st","Yes","Segesser, Mlle. Emma                                          ",".     ","Cherbourg  ","                                                  ","            ","                    ","     ","female"
 320,"1st","No ","Seredeca, Ms                                                  ",".     ","Southampton","                                                  ","            ","                    ","     ","female"
 321,"1st","No ","Ward, Ms Anna                                                 ",".     ","Cherbourg  ","                                                  ","            ","                    ","     ","female"
 322,"1st","Yes","Wilson, Ms Helen                                              ",".     ","Cherbourg  ","                                                  ","            ","                    ","     ","female"
 323,"2nd","No ","Abelson, Mr Samuel                                            ","30    ","Cherbourg  ","Russia New York, NY                               ","            ","                    ","     ","male  "
 324,"2nd","Yes","Abelson, Mrs Samuel (Anna)                                    ","28    ","Cherbourg  ","Russia New York, NY                               ","            ","                    ","12   ","female"
 325,"2nd","No ","Andrew, Mr Edgar Samuel                                       ","18    ","Southampton","Buenos Aires, Argentina / New Jersey, NJ          ","            ","                    ","     ","male  "
 326,"2nd","No ","Andrew, Mr Frank                                              ",".     ","Southampton","Cornwall, England Houghton, MI                    ","            ","                    ","     ","male  "
 327,"2nd","No ","Angle, Mr William A.                                          ","34    ","Southampton","Warwick, England                                  ","            ","                    ","     ","male  "
 328,"2nd","Yes","Angle, Mrs William A. (Florence)                              ","32    ","Southampton","Warwick, England                                  ","            ","                    ","     ","female"
 329,"2nd","No ","Ashby, Mr John                                                ","57    ","Southampton","West Hoboken, NJ                                  ","            ","                    ","     ","male  "
 330,"2nd","No ","Bailey, Mr Percy Andrew                                       ","18    ","Southampton","Penzance, Cornwall / Akron, OH                    ","            ","                    ","     ","male  "
 331,"2nd","No ","Baimbrigge, Mr Charles R.                                     ","23    ","Southampton","Guernsey                                          ","            ","                    ","     ","male  "
 332,"2nd","Yes","Balls, Mrs Ada E. Hall                                        ","36    ","Southampton","Bristol, Avon / Jacksonville, FL                  ","            ","                    ","     ","female"
 333,"2nd","No ","Banfield, Mr Frederick J.                                     ","28    ","Southampton","Plymouth, Dorset / Houghton, MI                   ","            ","                    ","     ","male  "
 334,"2nd","No ","Bateman, Rev Robert James                                     ","51    ","Southampton","Jacksonville, FL                                  ","            ","                    ","-174 ","male  "
 335,"2nd","Yes","Beane, Mr Edward                                              ","32    ","Southampton","Norwich / New York, NY                            ","            ","                    ","     ","male  "
 336,"2nd","Yes","Beane, Mrs Edward (Ethel Clarke)                              ","19    ","Southampton","Norwich / New York, NY                            ","            ","                    ","     ","female"
 337,"2nd","No ","Beauchamp, Mr Henry James                                     ","28    ","Southampton","England                                           ","            ","                    ","     ","male  "
 338,"2nd","Yes","Becker, Mrs Allen Oliver (Nellie E. Baumgardner)              ","36    ","Southampton","Guntur, India / Benton Harbour, MI                ","            ","230136 L39          ","11   ","female"
 339,"2nd","Yes","Becker, Miss Marion Louise                                    ","4     ","Southampton","Guntur, India / Benton Harbour, MI                ","            ","230136 L39          ","11   ","female"
 340,"2nd","Yes","Becker, Master Richard F.                                     ","1     ","Southampton","Guntur, India / Benton Harbour, MI                ","            ","230136 L39          ","11   ","male  "
 341,"2nd","Yes","Becker, Miss Ruth Elizabeth                                   ","12    ","Southampton","Guntur, India / Benton Harbour, MI                ","            ","230136 L39          ","13   ","female"
 342,"2nd","Yes","Beesley, Mr Lawrence                                          ","34    ","Southampton","London                                            ","D-56        ","248698 L13          ","13   ","male  "
 343,"2nd","Yes","Bentham, Miss Lilian W.                                       ","19    ","Southampton","Rochester, NY                                     ","            ","                    ","12   ","female"
 344,"2nd","No ","Berriman, Mr William S.                                       ","23    ","Southampton","St Ives, Cornwall / Calumet, MI                   ","            ","                    ","     ","male  "
 345,"2nd","No ","Botsford, Mr William Hull                                     ","26    ","Southampton","Elmira, NY / Orange, NJ                           ","            ","                    ","     ","male  "
 346,"2nd","No ","Bowenur, Mr Solomon                                           ",".     ","Southampton","London                                            ","            ","                    ","     ","male  "
 347,"2nd","No ","Bracken, Mr James H.                                          ","27    ","Southampton","Lake Arthur, Chavez County, NM                    ","            ","                    ","     ","male  "
 348,"2nd","Yes","Brown, Miss Edith E.                                          ","15    ","Southampton","Cape Town, South Africa / Seattle, WA             ","            ","                    ","14   ","female"
 349,"2nd","No ","Brown, Mr Thomas William Solomon                              ","45    ","Southampton","Cape Town, South Africa / Seattle, WA             ","            ","                    ","     ","male  "
 350,"2nd","Yes","Brown, Mrs Thomas William Solomon (Elizabeth C.)              ","40    ","Southampton","Cape Town, South Africa / Seattle, WA             ","            ","                    ","14   ","female"
 351,"2nd","Yes","Bryhl, Miss Dagmar                                            ","20    ","Southampton","Skara, Sweden / Rockford, IL                      ","            ","                    ","12   ","female"
 352,"2nd","No ","Bryhl, Mr Kurt Arnold Gottfrid                                ","25    ","Southampton","Skara, Sweden / Rockford, IL                      ","            ","                    ","     ","male  "
 353,"2nd","Yes","Buss, Miss Kate                                               ","36    ","Southampton","Sittingbourne, England / San Diego, CA            ","E-?         ","27849               ","9    ","female"
 354,"2nd","No ","Butler, Mr Reginald Fenton                                    ","25    ","Southampton","Southsea, Hants                                   ","            ","                    ","-97  ","male  "
 355,"2nd","No ","Byles, Rev. Thomas Roussel D.                                 ",".     ","Southampton","London                                            ","            ","                    ","     ","male  "
 356,"2nd","Yes","Bystrom, Mrs Carolina                                         ","42    ","Southampton","New York, NY                                      ","            ","                    ","     ","female"
 357,"2nd","Yes","Caldwell, Mr Albert Francis                                   ","26    ","Southampton","Bangkok, Thailand / Roseville, IL                 ","            ","                    ","13   ","male  "
 358,"2nd","Yes","Caldwell, Mrs Albert Francis (Sylvia Mae Harbaugh)            ","26    ","Southampton","Bangkok, Thailand / Roseville, IL                 ","            ","                    ","13   ","female"
 359,"2nd","Yes","Caldwell, Master Alden Gates                                  ","0.8333","Southampton","Bangkok, Thailand / Roseville, IL                 ","            ","                    ","13   ","male  "
 360,"2nd","Yes","Cameron, Miss Clear                                           ","31    ","Southampton","Mamaroneck, NY                                    ","            ","                    ","     ","female"
 361,"2nd","No ","Campbell, Mr William                                          ",".     ","           ","Belfast                                           ","            ","                    ","     ","male  "
 362,"2nd","No ","Carbines, Mr William                                          ","19    ","Southampton","St Ives, Cornwall / Calumet, MI                   ","            ","                    ","-18  ","male  "
 363,"2nd","No ","Carter, Rev Ernest Courtenay                                  ","54    ","Southampton","London                                            ","            ","                    ","     ","male  "
 364,"2nd","No ","Carter, Mrs Ernest Courtenay (Lillian Hughes)                 ","44    ","Southampton","London                                            ","            ","                    ","     ","female"
 365,"2nd","No ","Chapman, Mr Charles Henry                                     ","52    ","Southampton","Bronx, NY                                         ","            ","                    ","-130 ","male  "
 366,"2nd","No ","Chapman, Mr John Henry                                        ","30    ","Southampton","Cornwall / Spokane, WA                            ","            ","                    ","-17  ","male  "
 367,"2nd","No ","Chapman, Mrs John Henry (Elizabeth Lawry)                     ","30    ","Southampton","Cornwall / Spokane, WA                            ","            ","                    ","     ","female"
 368,"2nd","Yes","Christy, Mrs Alice Frances                                    ",".     ","Southampton","London                                            ","            ","                    ","     ","female"
 369,"2nd","Yes","Christy, Miss Julie                                           ",".     ","Southampton","London                                            ","            ","                    ","     ","female"
 370,"2nd","No ","Clarke, Mr Charles V.                                         ","29    ","Southampton","England / San Francisco, CA                       ","            ","                    ","     ","male  "
 371,"2nd","Yes","Clarke, Mrs Charles V. (Ada Maria)                            ",".     ","Southampton","England / San Francisco, CA                       ","            ","                    ","14   ","female"
 372,"2nd","No ","Coleridge, Mr Reginald Charles                                ","29    ","Southampton","Hartford, Huntingdonshire                         ","            ","                    ","     ","male  "
 373,"2nd","No ","Collander, Mr Erik                                            ","27    ","Southampton","Helsinki, Finland Ashtabula, Ohio                 ","            ","                    ","     ","male  "
 374,"2nd","Yes","Collett, Mr Sidney C. Stuart                                  ","24    ","Southampton","London / Fort Byron, NY                           ","            ","                    ","9    ","male  "
 375,"2nd","No ","Collyer, Mr Harvey                                            ","35    ","Southampton","Bishopstoke, Hants / Fayette Valley, ID           ","            ","                    ","     ","male  "
 376,"2nd","Yes","Collyer, Mrs Harvey (Charlotte Tate)                          ","31    ","Southampton","Bishopstoke, Hants / Fayette Valley, ID           ","            ","                    ","14   ","female"
 377,"2nd","Yes","Collyer, Miss Marjorie                                        ","8     ","Southampton","Bishopstoke, Hants / Fayette Valley, ID           ","            ","                    ","14   ","female"
 378,"2nd","No ","Cook, Mrs Selena Rogers                                       ","22    ","Southampton","Pennsylvania                                      ","F-33        ","                    ","14   ","female"
 379,"2nd","No ","Corbett, Mrs Walter H. (Irene Colvin)                         ","30    ","Southampton","Provo, UT                                         ","            ","                    ","     ","female"
 380,"2nd","No ","Corey, Mrs Percy C. (Mary Phyllis Elizabeth Miller)           ",".     ","Southampton","Upper Burma, India Pittsburgh, PA                 ","            ","                    ","     ","female"
 381,"2nd","No ","Cotterill, Mr Harry                                           ","20    ","Southampton","Penzance, Cornwall / Akron, OH                    ","            ","                    ","     ","male  "
 382,"2nd","No ","Cunningham, Mr Alfred Fleming                                 ",".     ","           ","Belfast                                           ","            ","                    ","     ","male  "
 383,"2nd","No ","Davies, Mr Charles Henry                                      ","21    ","Southampton","Lyndhurst, England                                ","            ","                    ","     ","male  "
 384,"2nd","Yes","Davis, Mrs Agnes                                              ","49    ","Southampton","St Ives, Cornwall / Hancock, MI                   ","            ","                    ","     ","female"
 385,"2nd","Yes","Davis, Master John Morgan                                     ","8     ","Southampton","St Ives, Cornwall / Hancock, MI                   ","            ","                    ","     ","male  "
 386,"2nd","Yes","Davis, Miss Mary                                              ","28    ","Southampton","London / Staten Island, NY                        ","            ","                    ","13   ","female"
 387,"2nd","No ","Deacon, Mr Percy                                              ","18    ","Southampton","                                                  ","            ","                    ","     ","male  "
 388,"2nd","No ","de Brito, Mr Jose Joaquim                                     ",".     ","           ","Portugal / Sau Paulo, Brazil                      ","            ","                    ","     ","male  "
 389,"2nd","No ","del Carlo, Mr Sebastiano                                      ","28    ","Cherbourg  ","Lucca, Italy / California                         ","            ","                    ","-295 ","male  "
 390,"2nd","Yes","del Carlo, Mrs Sebastiano (Argenia Genovese)                  ","22    ","Cherbourg  ","Lucca, Italy / California                         ","            ","                    ","     ","female"
 391,"2nd","No ","Denbury, Mr Herbert                                           ","25    ","Southampton","Guernsey / Elizabeth, NJ                          ","            ","                    ","     ","male  "
 392,"2nd","No ","Dibden, Mr William                                            ","18    ","Southampton","New Forest, England                               ","            ","                    ","     ","male  "
 393,"2nd","Yes","Doling, Mrs Ada                                               ","32    ","Southampton","Southampton                                       ","            ","                    ","     ","female"
 394,"2nd","Yes","Doling, Miss Elsie                                            ","18    ","Southampton","Southampton                                       ","            ","                    ","     ","female"
 395,"2nd","No ","Downton (?Douton), Mr William James                           ",".     ","Southampton","Holley, NY                                        ","            ","                    ","     ","male  "
 396,"2nd","No ","Drew, Mr James Vivian                                         ","42    ","Southampton","Greenport, NY                                     ","            ","28220 L32 10s       ","     ","male  "
 397,"2nd","Yes","Drew, Mrs James Vivian (Lulu Thorne Christian)                ","34    ","Southampton","Greenport, NY                                     ","            ","28220 L32 10s       ","     ","female"
 398,"2nd","Yes","Drew, Master Marshall Brines                                  ","8     ","Southampton","Greenport, NY                                     ","            ","28220 L32 10s       ","     ","male  "
 399,"2nd","Yes","Duran y More, Miss Asuncion                                   ",".     ","Cherbourg  ","Barcelona, Spain / Havana, Cuba                   ","            ","                    ","12   ","female"
 400,"2nd","Yes","Duran y More, Miss Florentina                                 ",".     ","Cherbourg  ","Barcelona, Spain / Havana, Cuba                   ","            ","                    ","12   ","female"
 401,"2nd","No ","Eitemiller, Mr George Floyd                                   ","23    ","Southampton","England / Detroit, MI                             ","            ","                    ","     ","male  "
 402,"2nd","No ","Enander, Mr Ingvar                                            ","21    ","Southampton","Goteborg, Sweden / Rockford, IL                   ","            ","                    ","     ","male  "
 403,"2nd","No ","Fahlstrom, Mr Arne Jonas                                      ","19    ","Southampton","Oslo, Norway Bayonne, NJ                          ","            ","                    ","     ","male  "
 404,"2nd","No ","Faunthorpe, Mr Harry                                          ",".     ","Southampton","England / Philadelphia, PA                        ","            ","                    ","-286 ","male  "
 405,"2nd","Yes","Faunthorpe, Mrs Lizzie (see Wilkinson, E.)                    ",".     ","           ","                                                  ","            ","                    ","     ","female"
 406,"2nd","No ","Fillbrook, Mr Charles                                         ",".     ","Southampton","Cornwall / Houghton, MI                           ","            ","                    ","     ","male  "
 407,"2nd","No ","Fox, Mr Stanley H.                                            ","38    ","Southampton","Rochester, NY                                     ","            ","229236 L13          ","-236 ","male  "
 408,"2nd","No ","Frost, Mr Anthony (Archie) W.                                 ",".     ","           ","Belfast                                           ","            ","                    ","     ","male  "
 409,"2nd","No ","Funk, Miss Annie C.                                           ","38    ","Southampton","Janjgir, India / Pennsylvania                     ","            ","                    ","     ","female"
 410,"2nd","No ","Fynney, Mr Joseph J.                                          ","35    ","Southampton","Liverpool / Montreal, PQ                          ","            ","                    ","-322 ","male  "
 411,"2nd","No ","Gale, Mr Harry                                                ","35    ","Southampton","Cornwall / Clear Creek, CO                        ","            ","                    ","     ","male  "
 412,"2nd","No ","Gale, Mr Shadrach                                             ","38    ","Southampton","Cornwall / Clear Creek, CO                        ","            ","                    ","     ","male  "
 413,"2nd","Yes","Garside, Miss Ethel                                           ","24    ","Southampton","Brooklyn, NY                                      ","            ","                    ","     ","female"
 414,"2nd","No ","Gaskell, Mr Alfred                                            ","16    ","Southampton","Liverpool / Montreal, PQ                          ","            ","                    ","     ","male  "
 415,"2nd","No ","Gavey, Mr Lawrence                                            ","26    ","Southampton","Guernsey / Elizabeth, NJ                          ","            ","                    ","     ","male  "
 416,"2nd","No ","Gilbert, Mr William                                           ","45    ","Southampton","Cornwall                                          ","            ","                    ","     ","male  "
 417,"2nd","No ","Giles, Mr Edgar                                               ","24    ","Southampton","Cornwall / Camden, NJ                             ","            ","                    ","     ","male  "
 418,"2nd","No ","Giles, Mr Frederick                                           ","21    ","Southampton","Cornwall / Camden, NJ                             ","            ","                    ","     ","male  "
 419,"2nd","No ","Giles, Mr Ralph                                               ","22    ","Southampton","West Kensington, London                           ","            ","                    ","-297 ","male  "
 420,"2nd","No ","Gill, Mr John W.                                              ",".     ","Southampton","Clevedon, England                                 ","            ","                    ","     ","male  "
 421,"2nd","No ","Gillespie, Mr William                                         ","34    ","Southampton","Vancouver, BC                                     ","            ","                    ","     ","male  "
 422,"2nd","No ","Givard, Mr Hans Christensen                                   ","30    ","Southampton","                                                  ","            ","                    ","-305 ","male  "
 423,"2nd","No ","Greenberg, Mr Samuel                                          ","50    ","Southampton","Bronx, NY                                         ","            ","                    ","-19  ","male  "
 424,"2nd","No ","Hale, Mr Reginald                                             ","30    ","Southampton","Auburn, NY                                        ","            ","                    ","-75  ","male  "
 425,"2nd","Yes","Hamalainen, Mrs William (Anna)                                ","23    ","Southampton","Detroit, MI                                       ","            ","                    ","     ","female"
 426,"2nd","Yes","Hamalainen, Master Viljo                                      ","1     ","Southampton","Detroit, MI                                       ","            ","                    ","     ","male  "
 427,"2nd","No ","Harbeck, Mr William H.                                        ","44    ","Southampton","Seattle, WA / Toledo, OH                          ","            ","248749 L13          ","-35  ","male  "
 428,"2nd","No ","Harper, Rev John                                              ","28    ","Southampton","Denmark Hill, Surrey / Chicago                    ","            ","                    ","     ","male  "
 429,"2nd","Yes","Harper, Miss Nina                                             ","6     ","Southampton","Denmark Hill, Surrey / Chicago                    ","            ","                    ","11   ","female"
 430,"2nd","Yes","Harris, Mr George                                             ","30    ","Southampton","London                                            ","            ","                    ","     ","male  "
 431,"2nd","No ","Harris, Mr Walter                                             ",".     ","Southampton","Walthamstow, England                              ","            ","                    ","     ","male  "
 432,"2nd","No ","Hart, Mr Benjamin                                             ","43    ","Southampton","Ilford, Essex / Winnipeg, MB                      ","            ","13529 L26 5s        ","     ","male  "
 433,"2nd","Yes","Hart, Mrs Benjamin (Esther)                                   ","45    ","Southampton","Ilford, Essex / Winnipeg, MB                      ","            ","13529 L26 5s        ","14   ","female"
 434,"2nd","Yes","Hart, Miss Eva Miriam                                         ","7     ","Southampton","Ilford, Essex / Winnipeg, MB                      ","            ","13529 L26 5s        ","14   ","female"
 435,"2nd","Yes","Herman, Miss Alice                                            ","24    ","Southampton","Somerset / Bernardsville, NJ                      ","            ","                    ","9    ","female"
 436,"2nd","Yes","Herman, Miss Kate                                             ","24    ","Southampton","Somerset / Bernardsville, NJ                      ","            ","                    ","9    ","female"
 437,"2nd","No ","Herman, Mr Samuel                                             ","49    ","Southampton","Somerset / Bernardsville, NJ                      ","            ","                    ","     ","male  "
 438,"2nd","Yes","Herman, Mrs Samuel (Jane Laver)                               ","48    ","Southampton","Somerset / Bernardsville, NJ                      ","            ","                    ","9    ","female"
 439,"2nd","Yes","Hewlett, Mrs Mary D.                                          ",".     ","Southampton","India / Rapid City, SD                            ","            ","                    ","13   ","female"
 440,"2nd","No ","Hickman, Mr Leonard Mark                                      ","34    ","Southampton","West Hampstead, London / Neepawa, MB              ","            ","                    ","-256 ","male  "
 441,"2nd","No ","Hickman, Mr Lewis                                             ","32    ","Southampton","West Hampstead, London / Neepawa, MB              ","            ","                    ","     ","male  "
 442,"2nd","No ","Hickman, Mr Stanley George                                    ","21    ","Southampton","West Hampstead, London / Neepawa, MB              ","            ","                    ","     ","male  "
 443,"2nd","No ","Hiltunen, Miss Marta                                          ","18    ","Southampton","Kontiolahti, Finland / Detroit, MI                ","            ","                    ","     ","female"
 444,"2nd","Yes","Hocking, Mrs Elizabeth                                        ","53    ","Southampton","Cornwall / Akron, OH                              ","            ","                    ","4    ","female"
 445,"2nd","No ","Hocking, Mr George                                            ","23    ","Southampton","Cornwall / Akron, OH                              ","            ","                    ","     ","male  "
 446,"2nd","Yes","Hocking, Miss Ellen (Nellie)                                  ","21    ","Southampton","Cornwall / Akron, OH                              ","            ","                    ","4    ","female"
 447,"2nd","No ","Hocking, Mr Samuel James                                      ",".     ","Southampton","Devonport, England                                ","            ","                    ","     ","male  "
 448,"2nd","No ","Hodges, Mr Henry Price                                        ","52    ","Southampton","Southampton                                       ","            ","                    ","-149 ","male  "
 449,"2nd","No ","Hold, Mr Stephen                                              ","42    ","Southampton","England / Sacramento, CA                          ","            ","                    ","     ","male  "
 450,"2nd","Yes","Hold, Mrs Stephen (Annie Margaret)                            ","36    ","Southampton","England / Sacramento, CA                          ","            ","                    ","     ","female"
 451,"2nd","No ","Hood, Mr Ambrose, Jr                                          ","21    ","Southampton","New Forest, England                               ","            ","                    ","     ","male  "
 452,"2nd","Yes","Hosono, Mr Masafumi                                           ","41    ","Southampton","Tokyo, Japan                                      ","            ","                    ","13   ","male  "
 453,"2nd","No ","Howard, Mr Benjamin                                           ",".     ","Southampton","Swindon, England                                  ","            ","                    ","     ","male  "
 454,"2nd","No ","Howard, Mrs Benjamin (Ellen Truelove)                         ",".     ","Southampton","Swindon, England                                  ","            ","                    ","     ","female"
 455,"2nd","No ","Hunt, Mr George Henry                                         ","33    ","Southampton","Philadelphia, PA                                  ","            ","                    ","     ","male  "
 456,"2nd","Yes","Ilett, Miss Bertha                                            ","17    ","Southampton","Guernsey                                          ","            ","                    ","     ","female"
 457,"2nd","No ","Jacobsohn Mr Sidney Samuel                                    ",".     ","Southampton","London                                            ","            ","                    ","     ","male  "
 458,"2nd","Yes","Jacobsohn, Mrs Sidney Samuel (Amy Frances Christy)            ",".     ","Southampton","London                                            ","            ","                    ","     ","female"
 459,"2nd","No ","Jarvis, Mr John Denzil                                        ",".     ","Southampton","North Evington, England                           ","            ","                    ","     ","male  "
 460,"2nd","No ","Jefferys, Mr Clifford                                         ",".     ","Southampton","Guernsey / Elizabeth, NJ                          ","            ","                    ","     ","male  "
 461,"2nd","No ","Jefferys, Mr Ernest                                           ",".     ","Southampton","Guernsey / Elizabeth, NJ                          ","            ","                    ","     ","male  "
 462,"2nd","No ","Jenkin, Mr Stephen Curnow                                     ",".     ","Southampton","St Ives, Cornwall / Houghton, MI                  ","            ","                    ","     ","male  "
 463,"2nd","Yes","Jerwan, Mrs Amin S. (Marie Thuillard)                         ","23    ","Cherbourg  ","New York, NY                                      ","            ","                    ","     ","female"
 464,"2nd","No ","Kantor, Mr Sinai                                              ","34    ","Southampton","Moscow / Bronx, NY                                ","            ","                    ","-283 ","male  "
 465,"2nd","Yes","Kantor, Mrs Sinai (Miriam Sternim)                            ",".     ","Southampton","Moscow / Bronx, NY                                ","            ","                    ","     ","female"
 466,"2nd","No ","Karnes, Mrs J. Frank (Claire Bennett)                         ","22    ","Southampton","India / Pittsburgh, PA                            ","            ","                    ","     ","female"
 467,"2nd","No ","Keane, Mr Daniel                                              ",".     ","Queenstown ","                                                  ","            ","                    ","     ","male  "
 468,"2nd","Yes","Keane, Miss Nora A.                                           ",".     ","Queenstown ","Harrisburg, PA                                    ","E-101       ","                    ","10   ","female"
 469,"2nd","Yes","Kelly, Mrs Florence (Fannie)                                  ","45    ","Southampton","London / New York, NY                             ","            ","                    ","     ","female"
 470,"2nd","No ","Kirkland, Rev Charles Leonard                                 ",".     ","Queenstown ","Glasgow / Bangor, ME                              ","            ","                    ","     ","male  "
 471,"2nd","No ","Knight, Mr Robert                                             ",".     ","           ","Belfast                                           ","            ","                    ","     ","male  "
 472,"2nd","No ","Kvillner, Mr Johan Henrik Johannesson                         ","31    ","Southampton","Sweden / Arlington, NJ                            ","            ","                    ","-165 ","male  "
 473,"2nd","No ","Lahtinen, Rev William                                         ","30    ","Southampton","Minneapolis, MN                                   ","            ","                    ","     ","male  "
 474,"2nd","No ","Lahtinen, Mrs William (Anna Sylvan)                           ","26    ","Southampton","Minneapolis, MN                                   ","            ","                    ","     ","female"
 475,"2nd","No ","Lamb, Mr John James                                           ",".     ","Queenstown ","                                                  ","            ","                    ","     ","male  "
 476,"2nd","Yes","Lemore, Mrs Amelia                                            ","34    ","Southampton","Chicago, IL                                       ","F-33        ","                    ","14/D ","female"
 477,"2nd","No ","LaRoche, Mr Joseph                                            ","26    ","Cherbourg  ","Paris / Haiti                                     ","            ","                    ","     ","male  "
 478,"2nd","Yes","LaRoche, Mrs Joseph (Juliet)                                  ","22    ","Cherbourg  ","Paris / Haiti                                     ","            ","                    ","     ","female"
 479,"2nd","Yes","LaRoche, Miss Louise                                          ","1     ","Cherbourg  ","Paris / Haiti                                     ","            ","                    ","     ","female"
 480,"2nd","Yes","LaRoche, Miss Simonne                                         ","3     ","Cherbourg  ","Paris / Haiti                                     ","            ","                    ","     ","female"
 481,"2nd","Yes","Lehmann, Miss Bertha                                          ",".     ","Cherbourg  ","Berne, Switzerland / Central City, IA             ","            ","                    ","     ","female"
 482,"2nd","Yes","Leitch, Miss Jessie                                           ",".     ","Southampton","London / Chicago, IL                              ","            ","                    ","11   ","female"
 483,"2nd","No ","Levy, Mr Rene Jacques                                         ",".     ","Cherbourg  ","Montreal, PQ                                      ","            ","                    ","     ","male  "
 484,"2nd","No ","Leyson, Mr Robert William Norman                              ","25    ","Southampton","                                                  ","            ","                    ","-108 ","male  "
 485,"2nd","No ","Lingan, Mr John                                               ",".     ","Queenstown ","                                                  ","            ","                    ","     ","male  "
 486,"2nd","No ","Louch, Mr Charles Alexander                                   ","48    ","Southampton","Weston-Super-Mare, Somerset                       ","            ","                    ","-121 ","male  "
 487,"2nd","Yes","Louch, Mrs Charles Alexander (Alice Adelaide)                 ",".     ","Southampton","Weston-Super-Mare, Somerset                       ","            ","                    ","14   ","female"
 488,"2nd","No ","Mack, Mrs Mary                                                ","57    ","Southampton","Southampton / New York, NY                        ","E77         ","                    ","-52  ","female"
 489,"2nd","No ","Malachard, Mr Noel                                            ",".     ","Cherbourg  ","Paris                                             ","            ","                    ","     ","male  "
 490,"2nd","No ","Mallet, Mr Albert                                             ",".     ","Cherbourg  ","Paris / Montreal, PQ                              ","            ","                    ","     ","male  "
 491,"2nd","Yes","Mallet, Mrs Albert (Antoinette)                               ",".     ","Cherbourg  ","Paris / Montreal, PQ                              ","            ","                    ","     ","female"
 492,"2nd","Yes","Mallet, Master Andre                                          ","2     ","Cherbourg  ","Paris / Montreal, PQ                              ","            ","                    ","     ","male  "
 493,"2nd","No ","Mangiavacchi, Mr Serafino Emilio                              ",".     ","Cherbourg  ","New York, NY                                      ","            ","                    ","     ","male  "
 494,"2nd","No ","Mantvila, Rev Joseph                                          ","27    ","Southampton","Worcester, MA                                     ","            ","                    ","     ","male  "
 495,"2nd","Yes","Marshall, Mrs Kate Louise Phillips                            ","19    ","Southampton","Worcester, England                                ","            ","                    ","     ","female"
 496,"2nd","No ","Matthews, Mr William John                                     ","30    ","Southampton","St Austall, Cornwall                              ","            ","                    ","     ","male  "
 497,"2nd","No ","Maybery, Mr Frank H.                                          ","20    ","Southampton","Weston-Super-Mare / Moose Jaw, SK                 ","            ","                    ","     ","male  "
 498,"2nd","No ","McCrae, Mr Arthur Gordon                                      ","45    ","Southampton","Sydney, Australia                                 ","            ","                    ","-209 ","male  "
 499,"2nd","No ","McCrie, Mr James Matthew                                      ",".     ","Southampton","Sarnia, ON                                        ","            ","                    ","     ","male  "
 500,"2nd","No ","McKane, Mr Peter D.                                           ","46    ","Southampton","Rochester, NY                                     ","            ","                    ","     ","male  "
 501,"2nd","Yes","Mellenger, Mrs Elizabeth Anne                                 ","41    ","Southampton","England / Bennington, VT                          ","            ","                    ","14/12","female"
 502,"2nd","Yes","Mellenger, Miss Madeleine Violet                              ","13    ","Southampton","England / Bennington, VT                          ","            ","                    ","14/12","female"
 503,"2nd","Yes","Mellor, Mr William John                                       ","19    ","Southampton","Chelsea, London                                   ","            ","                    ","B    ","male  "
 504,"2nd","No ","Meyer, Mr August                                              ","30    ","Southampton","Harrow-on-the-Hill, Middlesex                     ","            ","                    ","     ","male  "
 505,"2nd","No ","Milling, Mr Jacob Christian                                   ","48    ","Southampton","Copenhagen, Denmark                               ","            ","                    ","-271 ","male  "
 506,"2nd","No ","Mitchell, Mr Henry Michael                                    ","71    ","Southampton","Guernsey / Montclair, NJ and/or Toledo, Ohio      ","            ","                    ","     ","male  "
 507,"2nd","No ","Moraweck, Dr Ernest                                           ","54    ","Southampton","Frankfort, KY                                     ","            ","                    ","     ","male  "
 508,"2nd","No ","Morley, Mr William                                            ",".     ","Southampton","Petworth, Sussex                                  ","            ","                    ","     ","male  "
 509,"2nd","No ","Mudd, Mr Thomas C.                                            ",".     ","Southampton","Halesworth, England                               ","            ","                    ","     ","male  "
 510,"2nd","No ","Myles, Mr Thomas Francis                                      ","64    ","Queenstown ","Cambridge, MA                                     ","            ","                    ","     ","male  "
 511,"2nd","No ","Nasser (Nasrallah), Mr Nicholas                               ","32    ","Cherbourg  ","New York, NY                                      ","            ","                    ","-43  ","male  "
 512,"2nd","Yes","Nasser (Nasrallah), Mrs Nicholas                              ","18    ","Cherbourg  ","New York, NY                                      ","            ","                    ","     ","female"
 513,"2nd","Yes","Navratil, Master Edmond Roger                                 ","2     ","Southampton","Nice, France                                      ","            ","230080 L26          ","D    ","male  "
 514,"2nd","No ","Navratil, Mr Michel                                           ","32    ","Southampton","Nice, France                                      ","            ","230080 L26          ","-15  ","male  "
 515,"2nd","Yes","Navratil, Master Michel M.                                    ","3     ","Southampton","Nice, France                                      ","            ","230080 L26          ","D    ","male  "
 516,"2nd","No ","Nesson, Mr Israel                                             ","26    ","Southampton","Boston, MA                                        ","            ","                    ","     ","male  "
 517,"2nd","No ","Nicholls, Mr Joseph Charles                                   ","19    ","Southampton","Cornwall / Hancock, MI                            ","            ","                    ","-101 ","male  "
 518,"2nd","No ","Norman, Mr Robert Douglas                                     ",".     ","Southampton","Glasgow                                           ","            ","                    ","-287 ","male  "
